layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,bias,sim correlation
layer4,52,0.454099229570244,3.077778,espresso machine,1.0070589,primate,0.24110249,mammal,0.0339436,placental,0.4033153057098388,0.4780178368091583
layer4,53,0.3387129009091926,2.4251213,magnetic compass,2.2987218,rotary dial telephone,2.041928,Affenpinscher,1.4715136,measuring instrument,0.4766762852668762,0.32280755043029785
layer4,54,0.2705268322030547,3.416377,ping-pong ball,2.2162035,pool table,1.9569311,toucan,1.0826054,poodle,0.4955599009990692,0.2912572920322418
layer4,55,0.2800734807499308,1.7456499,baby bib,1.5881195,clothes iron,1.4993553,guillotine,0.35621014,bird,0.3966305553913116,0.29594913125038147
layer4,56,0.306041616406142,2.2446501,arabian camel,1.977479,earth star fungus,1.6336591,ice cream,1.5593758,lemur,0.3550042510032654,0.3114846646785736
layer4,57,0.2697152432265658,1.3405102,camera,1.005946,bowed stringed instrument,0.43526626,wind instrument,0.17335524,device,0.384769856929779,0.269546777009964
layer4,58,0.4941463078494623,1.2040787,ball,0.7157627,shepherd dog,0.5918364,dog,-0.011489687,domestic animal,0.4115138053894043,0.4954705834388733
layer4,59,0.1936015186477221,1.6414292,gong,1.6219094,potter's wheel,0.24672899,invertebrate,0.10442333,container,0.41816446185112,0.18095478415489197
layer4,60,0.364805855419591,0.46905893,musical instrument,0.29193532,canine,0.2381769,hound,0.17322662,artifact,0.2701467275619507,0.257249653339386
layer4,61,0.1945154060964673,1.3489488,potter's wheel,1.2164524,sawmill,1.0935436,geyser,0.30567652,reptile,0.3997099101543426,0.20112113654613495
layer4,62,0.3587103095859237,2.0972154,consomme,1.6352059,lemur,0.5243733,primate,0.31358802,mammal,0.4448015689849853,0.3260611891746521
layer4,63,0.383658969571216,0.9093606,beverage,0.5815781,retriever,0.34076816,dog,0.23769243,container,0.339179128408432,0.2949617803096771
layer4,64,0.2216521426866619,1.6004983,parking meter,1.3154935,harp,1.1577107,frilled-necked lizard,0.83091986,butterfly,0.327850729227066,0.26540201902389526
layer4,65,0.5359034847568755,2.8960953,antelope,0.9122549,bird,0.41566828,animal,0.24605615,organism,0.5804600119590759,0.3706652820110321
layer4,66,0.3396955962839171,1.1447479,fungus,0.9506025,place of business,0.5370817,produce,0.4160584,solid,0.5115225315093994,0.2847830057144165
layer4,67,0.3132029832226104,2.506697,shoe store,1.9574732,filing cabinet,1.7238985,library,1.4673796,hen of the woods mushroom,0.407498836517334,0.29269155859947205
layer4,68,0.3170679758371837,1.7713338,espresso machine,1.6456637,accordion,1.2710449,camera,0.19332795,instrumentality,0.3192872107028961,0.25506389141082764
layer4,69,0.2645258745209091,1.8631402,American lobster,1.7354307,common sorrel horse,1.6473039,butternut squash,1.3796766,lifeboat,0.3669667243957519,0.2701955735683441
layer4,70,0.2762159883852138,2.0740395,balloon,1.935307,gong,1.7867101,radio telescope,0.7063119,hound,0.4634643793106079,0.3100527822971344
layer4,71,0.3121185162846424,1.4924479,menu,0.39998174,electronic equipment,0.38523307,primate,0.13565904,instrumentality,0.3183667063713074,0.23964665830135345
layer4,72,0.3784467625098033,1.6501749,harmonica,1.4707702,piano,1.0351838,oscine,0.1836921,artifact,0.3366927802562713,0.1713423877954483
layer4,73,0.2388346084844109,1.7971432,tennis ball,1.6868784,smooth green snake,1.6577166,bubble,1.1695995,percoid fish,0.4591583609580993,0.27862265706062317
layer4,74,0.302395099237132,1.9111426,magnetic compass,1.3124989,measuring instrument,1.0467473,bear,0.39721203,structure,0.5330172181129456,0.23707550764083862
layer4,75,0.3139868517594308,1.3469462,hot dog,1.2941401,dugong,0.6939044,squash,0.29257143,solid,0.2901729047298431,0.22218336164951324
layer4,76,0.4476044723402798,2.383136,spider web,0.9415753,spider,0.42020753,invertebrate,0.26519522,arachnid,0.3916595578193664,0.4502521753311157
layer4,77,0.3274287879584068,1.0437331,brass,0.7107383,musical instrument,0.36169308,conveyance,0.15190734,vehicle,0.4976997971534729,0.19961537420749664
layer4,78,0.3103812252747229,1.595618,weight,1.4995168,spindle,1.312886,electric fan,0.1723796,device,0.3713975548744201,0.23496384918689728
layer4,79,0.3780020500365334,1.2553601,squash,0.9679175,utensil,0.62647676,nutriment,0.49588504,food,0.4920481443405151,0.25754931569099426
layer4,80,0.2646938793310185,0.4966563,footwear,0.21753965,food,0.14174357,domestic animal,0.07703127,matter,0.2768479585647583,0.1496228128671646
layer4,81,0.2337051413867696,1.4468253,pedestal,1.3133179,obelisk,0.376569,sports equipment,0.2807204,clothing,0.4129478931427002,0.20256483554840088
layer4,82,0.4915991736994186,3.7663991,platypus,2.4129868,crocodilian reptile,2.2585828,aquatic bird,-0.104398,wading bird,0.6805069446563721,0.4111129939556122
layer4,83,0.2255272116576598,1.3584366,gyromitra,1.3376001,Basset Hound,1.159033,hen,0.9850846,rooster,0.4128215610980987,0.2912311553955078
layer4,84,0.3064798004687094,2.7432632,hot dog,2.1107473,pizza,0.8688394,foodstuff,0.6590747,electronic equipment,0.4737595021724701,0.23800607025623322
layer4,85,0.3119404499544054,1.8222444,quilt,0.7275669,furniture,0.26930475,furnishing,0.16944012,artifact,0.528921902179718,0.2470521330833435
layer4,86,0.4247774155659619,2.4756777,aquatic mammal,0.9948909,craft,0.7940423,terrier,0.7079689,ship,0.5026875138282776,0.4067081809043884
layer4,87,0.4479185032983773,1.6831704,mountain,1.251614,bovid,0.31381026,bird,0.29038107,mammal,0.4190511703491211,0.38355135917663574
layer4,88,0.3895337239233023,1.5935962,bird of prey,0.8375679,primate,0.65988743,bird,0.6472948,structure,0.5555504560470581,0.32265883684158325
layer4,89,0.3374804257378649,2.2852824,ostrich,1.1682801,wolf,0.68913317,wading bird,0.47935668,aquatic bird,0.4823059141635895,0.3315984308719635
layer4,90,0.2830775091428777,2.1814296,harmonica,2.0754514,cassette,1.4781276,slot machine,1.2286292,piano,0.4359323680400848,0.26388633251190186
layer4,91,0.3270582857157409,1.8302411,Irish Water Spaniel,1.6914053,poodle,0.4433874,musical instrument,0.2526091,bird,0.3242924213409424,0.3759782016277313
layer4,92,0.4099370783454433,2.6643417,three-toed sloth,2.6409557,entertainment center,0.81376797,terrier,0.7830648,arachnid,0.4213038980960846,0.45545443892478943
layer4,93,0.2611397028657366,2.5990708,Komondor,2.31767,porcupine,2.1113844,three-toed sloth,1.6899271,cleaning implement,0.4443928897380829,0.3196375072002411
layer4,94,0.3361073109845512,0.89546067,baby bed,0.44515952,musical instrument,0.43675157,clothing,0.13831644,mammal,0.3076841831207275,0.24006310105323792
layer4,95,0.5056087286971779,0.8529012,bird,0.5661998,craft,0.50679976,oscine,0.26462176,structure,0.474482387304306,0.3816230595111847
layer4,96,0.2882119114554606,1.7973824,chocolate syrup,1.7693954,red wine,1.1392653,glass,0.9466805,bottle,0.4687533378601074,0.3008842468261719
layer4,97,0.2894450095803196,3.3192027,screw,2.4552574,mosque,2.4155388,corkscrew,0.4823029,diapsid,0.4987646639347076,0.276317298412323
layer4,98,0.3214527239016951,2.2537055,T-shirt,1.2209496,sweatshirt,0.89094573,weight,0.07149449,artifact,0.3659438788890838,0.25279882550239563
layer4,99,0.3785531031212248,2.114472,hippopotamus,1.8247942,water buffalo,0.8783798,great ape,0.5287764,primate,0.4412497580051422,0.3171294331550598
layer4,100,0.3212608727029377,0.3464545,substance,0.20870657,food,0.1417344,matter,0.12437173,container,0.3288534283638,0.23061339557170868
layer4,101,0.192506021141918,1.6462677,gong,0.9018847,orthopterous insect,0.35845715,terrier,0.27156892,insect,0.4309303164482116,0.25420308113098145
layer4,102,0.266872420128303,2.055643,puzzle,1.5661057,boa,1.3295585,floor cover,0.5689221,feline,0.4158956408500671,0.32223477959632874
layer4,103,0.473287682547325,0.9715037,musteline mammal,0.62104124,mammal,0.32780105,vertebrate,-0.46336573,placental,0.3087212443351745,0.45886027812957764
layer4,104,0.3180493898169433,1.7474357,manhole cover,1.6040261,cannon,0.8010976,seat,0.2021751,artifact,0.3353619277477264,0.20465244352817535
layer4,105,0.3735491685489961,1.8668933,Old English Sheepdog,1.2819753,corgi,1.0357242,sennenhunde,0.20790951,carnivore,0.3693783283233642,0.33204519748687744
layer4,106,0.2782768189128066,1.3492085,missile,1.0995924,swimsuit,0.70918256,weapon,0.62203676,footwear,0.411653071641922,0.3012380003929138
layer4,107,0.2793338637377894,1.9061692,Komondor,1.7386765,small white butterfly,1.6780908,Old English Sheepdog,0.90827787,bird of prey,0.3964436054229736,0.28311842679977417
layer4,108,0.459569625144642,1.8761795,locomotive,1.3579991,fungus,1.0597385,bony fish,0.5738617,invertebrate,0.4283439815044403,0.4742223620414734
layer4,109,0.3338755100097899,1.8542726,Komodo dragon,1.5821036,Gila monster,1.3979337,elephant,0.22619358,hunting dog,0.3949512541294098,0.2879973351955414
layer4,110,0.335564327286302,2.594453,parking meter,2.2172399,turnstile,1.1647947,box,0.28151578,artifact,0.3563281595706939,0.2483326941728592
layer4,111,0.3915434253014488,2.050775,bullock cart,1.2860113,salamander,1.0022283,bovid,0.6504409,even-toed ungulate,0.4294379949569702,0.30616891384124756
layer4,112,0.2461374985740458,1.6120211,flamingo,1.2573264,unicycle,0.94715726,bicycle,0.19927275,clothing,0.3149911165237427,0.2882302403450012
layer4,113,0.2258173912687874,0.23100977,wind instrument,0.21278195,fruit,0.21056086,bird,0.14983645,oscine,0.482583999633789,0.2222047597169876
layer4,114,0.2593209485778545,1.1762692,sauce,0.4448258,nutriment,0.23835367,matter,0.1845105,food,0.5269673466682434,0.196514293551445
layer4,115,0.3074963836420126,2.0873976,crate,1.4220086,maze,1.0497715,basket,0.1154553,artifact,0.3794437944889068,0.26954489946365356
layer4,116,0.3020449646288478,1.6778257,Norwegian Elkhound,1.5494504,drumstick,1.4267607,fur coat,1.2784966,pan flute,0.3450925946235657,0.3034975230693817
layer4,117,0.4183140935084651,2.210616,shoe store,2.1033478,shoe,0.93454516,footwear,0.31844255,bird,0.3985688388347626,0.3665032982826233
layer4,118,0.2489995803555423,1.9190546,broccoli,1.4224967,jackfruit,1.3967886,guacamole,1.044434,frog,0.3702185153961181,0.33335739374160767
layer4,119,0.2276066381526745,1.5141315,flatworm,1.0339484,fungus,0.6454525,amphibian,0.15515433,organism,0.5767331719398499,0.2434101700782776
layer4,120,0.4156390870875435,2.744901,giant panda,2.634676,space shuttle,2.3994665,crossword,2.36799,magpie,0.5056191086769104,0.3346208333969116
layer4,121,0.3157245241104278,1.5397933,turnstile,1.1859882,park bench,0.7226151,gymnastic apparatus,0.36290652,furniture,0.3617042899131775,0.2382616251707077
layer4,122,0.258076308168954,1.4319535,coral fungus,0.7757461,cruciferous vegetable,0.21180588,clothing,0.17702304,invertebrate,0.3628129363059997,0.19874949753284454
layer4,123,0.2132659044031665,2.5029097,hard disk drive,1.5439351,music speaker,1.172305,opener,1.1310428,frog,0.4892340898513794,0.2361012101173401
layer4,124,0.364915058987983,2.2980638,radiator grille,1.7499889,mobile home,0.64656866,motor vehicle,0.48842835,car,0.4793268740177154,0.30007317662239075
layer4,125,0.2543485567335908,0.8549082,weight,0.29211783,craft,0.15970731,structure,0.07561423,artifact,0.303096204996109,0.04743276536464691
layer4,126,0.3041912821511999,0.98281175,altar,0.57907194,setter,0.43455315,spaniel,0.20152748,sporting dog,0.3259283006191253,0.3284291923046112
layer4,127,0.2889898786532417,2.6105516,picket fence,1.3198264,coral fungus,0.90404445,leporid,0.33496392,bird,0.4223180711269378,0.258456289768219
layer4,128,0.3939696102332887,3.0143418,photocopier,1.8352329,cheeseburger,1.6771781,antelope,0.80565244,cartilaginous fish,0.541114091873169,0.3284164369106293
layer4,129,0.3679840409896495,3.8701944,tights,3.0911653,swimsuit,1.7994866,skirt,1.1363262,rodent,0.6019642949104309,0.4218562841415405
layer4,130,0.3290989443809847,2.4204438,apiary,1.7744805,food fish,1.212659,plate,0.50511664,musical instrument,0.5065473914146423,0.20395369827747345
layer4,131,0.1963205227283042,2.1728616,mosquito net,1.3251184,water bottle,1.1388133,baby pacifier,0.13541117,artifact,0.3705723583698272,0.19661396741867065
layer4,132,0.3347420050084784,1.8065107,odonate,1.7831643,lacewing,1.6974503,shopping cart,1.6145135,nematode,0.3497110307216644,0.3297567665576935
layer4,133,0.3399006126066849,2.6188781,slot machine,1.3297933,place of business,0.53568953,shop,0.1883133,artifact,0.4906370043754577,0.19093577563762665
layer4,134,0.1837212053114555,1.5469372,stupa,1.411507,maraca,0.24911557,hunting dog,0.12484778,artifact,0.4480620324611664,0.17952461540699005
layer4,135,0.4091631029518381,2.9066422,paddle,1.7090642,boat,1.2458969,sporting dog,0.9586192,aquatic bird,0.5742819309234619,0.4545728266239166
layer4,136,0.3436480315327019,2.7571416,snowmobile,2.5725455,ski,1.9410803,sled,0.5826842,hound,0.3504305481910705,0.5009914040565491
layer4,137,0.3564722500946156,3.3738856,lab coat,1.89118,baby pacifier,1.7137448,clothes iron,1.4722604,daisy,0.443246990442276,0.2307862937450409
layer4,138,0.2015278110295379,1.5977223,milk can,1.3982984,jackfruit,1.0676692,elephant,0.15127748,container,0.4122875034809112,0.23306702077388763
layer4,139,0.3308087783583207,2.2559416,thatched roof,1.4217105,marsupial,0.74508,primate,0.18654978,mammal,0.4658293128013611,0.3772665560245514
layer4,140,0.6159242044420042,2.1207492,bird of prey,1.8365717,parrot,1.8262907,african grey parrot,0.93292516,bird,0.4434956312179565,0.5418296456336975
layer4,141,0.3166330835932742,1.4407531,crocodilian reptile,1.2611401,corn cob,1.104545,viper,0.49002528,lizard,0.2871915698051452,0.26770538091659546
layer4,142,0.289981234570722,1.2750129,paddle,0.96484584,pen,0.39416033,craft,0.15088037,artifact,0.309636503458023,0.27077677845954895
layer4,143,0.2464885974746354,1.667402,plectrum,1.3487043,toaster,0.8242909,communication,0.19091573,instrumentality,0.4249258041381836,0.17757856845855713
layer4,144,0.3166642673432097,1.9061661,carbonara,1.352845,sandwich,1.0074989,gymnastic apparatus,0.21217337,canine,0.3617740571498871,0.33908307552337646
layer4,145,0.187431302168583,2.4383698,marimba,1.9032104,high-speed train,1.4119952,Siamese cat,0.28395367,furniture,0.488173097372055,0.28196701407432556
layer4,146,0.3213615975513293,1.2758487,shoe store,1.2065494,gondola,0.86007005,footwear,0.65761876,shoe,0.4137473404407501,0.2946633994579315
layer4,147,0.2784253890473986,2.1488073,daisy,1.8931262,lab coat,1.3204013,puzzle,0.3964997,snake,0.4519397616386413,0.23364976048469543
layer4,148,0.3667873218872894,1.7524201,lemur,1.360198,marsupial,1.1961871,fox,0.6024352,snake,0.3477423787117004,0.4019101560115814
layer4,149,0.5613158959660564,4.5520887,coral reef,4.0101504,coelenterate,2.7458692,echinoderm,2.7098486,fish,0.6544773578643799,0.6048718094825745
layer4,150,0.3885091734322993,2.732012,water tower,2.0465026,helmet,0.569138,conveyance,0.44376254,structure,0.5384023785591125,0.3146040141582489
layer4,151,0.275608765925287,0.25963268,musical instrument,0.2003192,arthropod,0.14412445,insect,0.13568453,device,0.2935903072357178,0.24101102352142334
layer4,152,0.2696256844949243,3.239919,peafowl,2.5789502,bubble,2.181499,indigo bunting,0.16036764,artifact,0.5066496729850769,0.25425997376441956
layer4,153,0.3352615522366593,1.5387299,table lamp,1.5312417,communication,1.4928938,lampshade,0.16616853,artifact,0.2957513332366943,0.25038087368011475
layer4,154,0.3241499417015683,2.6766853,poncho,1.8670284,scarf,0.652647,fabric,0.35144743,invertebrate,0.4097185134887695,0.35266634821891785
layer4,155,0.4001575088255844,2.9447033,apiary,1.4208314,box,0.702243,electronic equipment,0.25948974,artifact,0.4560407400131225,0.3020566999912262
layer4,156,0.3768735306580153,2.3001466,carbonara,2.1010041,Tibetan Mastiff,2.0974536,spitz,1.6946881,sled dog,0.4304060339927673,0.4845336377620697
layer4,157,0.2911498015001212,3.7732224,gong,2.9116874,potter's wheel,2.3875556,washing machine,2.0329258,toilet seat,0.4909087717533111,0.33188217878341675
layer4,158,0.3844271250399282,1.998626,library,0.5859815,reptile,0.5630341,insect,0.19227694,organism,0.4751774370670318,0.38376015424728394
layer4,159,0.4066435652126024,1.5792474,Airedale Terrier,1.4739232,Border Terrier,0.29762542,mammal,0.023538234,placental,0.2816317975521087,0.3880850374698639
layer4,160,0.2103919295900031,2.180828,shower cap,1.8094919,cherimoya (custard apple),1.5523864,cruciferous vegetable,1.4850856,broccoli,0.4414793848991394,0.3998277485370636
layer4,161,0.3378061918564738,0.59775823,geological formation,0.23676983,terrier,0.2161532,dog,0.15933265,artifact,0.2601259648799896,0.20022298395633698
layer4,162,0.3623744124636741,3.4121249,bicycle,2.7543216,unicycle,2.5393078,rickshaw,2.262347,moped,0.4817401468753814,0.3596109449863434
layer4,163,0.4525190346150772,2.6780381,bell tower,1.8008738,roof,1.4992992,place of worship,0.5559156,structure,0.4860625565052032,0.3997253179550171
layer4,164,0.2235117419039828,1.2942923,Angora rabbit,1.1251931,apron,0.6622712,bag,0.33092576,feline,0.3512075245380401,0.23197849094867706
layer4,165,0.292533820427626,2.0308592,container ship,1.6383098,gondola,1.5064118,gymnastic apparatus,0.3855113,furnishing,0.3809060752391815,0.3142569661140442
layer4,166,0.285537779047327,2.3721273,potter's wheel,1.8816803,block plane,1.7136215,mortar and pestle,1.5740457,sea lion,0.4362073540687561,0.25115951895713806
layer4,167,0.3634089357595545,2.4136443,plant pot,1.748287,cucumber,1.7317687,zucchini,1.0356227,vegetable,0.5540713667869568,0.37369757890701294
layer4,168,0.2826528823683495,1.2916483,hot pot,1.2696202,consomme,0.35653508,primate,0.118654944,vertebrate,0.369527131319046,0.21353518962860107
layer4,169,0.4175295390352146,1.247637,altar,0.76320505,sweater,0.2981959,covering,0.0809479,artifact,0.278005301952362,0.24848932027816772
layer4,170,0.377902770594796,4.483476,sink,3.6083937,bathtub,3.4432285,hot tub,0.23116265,domestic animal,0.5875004529953003,0.35748186707496643
layer4,171,0.3314386397201697,1.0958316,shark,1.0720974,scuba diver,0.6661634,source of illumination,0.25061807,artifact,0.4186486303806305,0.24458689987659454
layer4,172,0.3917413303319176,2.1219056,daisy,1.3620083,Affenpinscher,0.92987317,poodle,0.86769307,terrier,0.4036215245723724,0.31852781772613525
layer4,173,0.1822859085078497,2.4921088,fireboat,2.425755,Christmas stocking,2.2676747,fire truck,1.1541244,parrot,0.6220771074295044,0.25190091133117676
layer4,174,0.2954761914108273,2.2174442,teapot,1.8864923,Schipperke,1.8600174,earth star fungus,1.0704345,spitz,0.5680472254753113,0.24836228787899017
layer4,175,0.3494219619986003,2.1189477,whistle,0.8387591,fastener,0.5467355,measuring instrument,0.17167772,instrumentality,0.3193140625953674,0.24382400512695312
layer4,176,0.3900726471582684,2.26671,mushroom,2.0140164,fungus,1.0780146,coelenterate,0.9612544,gymnastic apparatus,0.5035645365715027,0.38541531562805176
layer4,177,0.3445771611321774,0.9447081,cat,0.79232824,poodle,0.7679982,marsupial,0.2092049,mammal,0.3126124739646911,0.402137815952301
layer4,178,0.3700434446033026,3.3308318,china cabinet,2.5742514,entertainment center,2.2834728,wardrobe,2.0137837,plate rack,0.4746913909912109,0.44095906615257263
layer4,179,0.23990467640652,1.6120585,screw,0.99827754,shark,0.70359975,cartilaginous fish,0.5568474,oscine,0.4361632168292999,0.2633487284183502
layer4,180,0.2945033595817907,0.63656807,geological formation,0.48446018,source of illumination,0.3707546,craft,0.16185042,structure,0.3539723753929138,0.1401054561138153
layer4,181,0.259514217592204,2.6867115,fountain,1.5385392,geyser,1.438329,fireboat,0.15808423,structure,0.4210712313652038,0.2884767949581146
layer4,182,0.3767788958712207,1.0933315,furniture,0.37967968,domestic animal,0.29012862,artifact,0.04261526,furnishing,0.3806029260158539,0.2916550636291504
layer4,183,0.4425323141702653,2.834553,dugong,2.6539958,scuba diver,1.9095824,fish,0.54346913,primate,0.5270456671714783,0.48089781403541565
