layer,unit,val correlation,weight0,concept0,weight1,concept1,weight2,concept2,weight3,concept3,weight4,concept4,bias,sim correlation
layer4,46,0.279391860886396,2.2140768,Irish Water Spaniel,1.7813097,broccoli,1.6482478,Curly-coated Retriever,1.4662502,poodle,1.340221,Kerry Blue Terrier,0.4342654049396515,0.32145169377326965
layer4,47,0.3890905322379404,1.463636,parachute,1.178823,shark,0.28295928,artifact,0.23510608,covering,0.16768919,device,0.3808626532554626,0.1929594874382019
layer4,48,0.2477152528196894,1.4565175,knot,0.994743,baby bed,0.8972687,basket,0.4590249,arachnid,0.30473506,snake,0.4452089071273803,0.2625791132450104
layer4,49,0.3768434422853946,2.3057375,automated teller machine,1.2141757,electronic equipment,0.87314475,ape,0.8271373,spaniel,0.557361,primate,0.4442206621170044,0.38928768038749695
layer4,50,0.4131006190740047,1.1263129,corgi,0.5563897,diapsid,0.34862632,mammal,0.28985015,working dog,-0.085517764,placental,0.3527202606201172,0.31387123465538025
layer4,51,0.1996003934577275,1.5305516,rocking chair,0.89406735,weight,0.82536536,cart,0.49341905,lizard,0.10007961,vertebrate,0.4254966974258423,0.23484571278095245
layer4,52,0.4543041690915195,3.0899093,espresso machine,0.9245443,primate,0.8455128,lesser ape,0.35845345,mammal,-0.08660941,placental,0.4000867903232574,0.4706570506095886
layer4,53,0.3498660835974334,2.447989,magnetic compass,2.3202956,rotary dial telephone,2.048813,Affenpinscher,1.3787084,measuring instrument,1.2189767,barometer,0.4812925159931183,0.3447854816913605
layer4,54,0.3084589409980238,3.430153,ping-pong ball,2.2004087,pool table,1.9632021,toucan,1.7802321,acorn,1.0856283,poodle,0.5007708668708801,0.30622532963752747
layer4,55,0.3172047255584563,1.6824342,baby bib,1.5365219,clothes iron,1.4523262,guillotine,0.41477516,bird,0.10700185,artifact,0.3386778235435486,0.2999352514743805
layer4,56,0.3567107839010814,2.2332222,arabian camel,1.981169,earth star fungus,1.6342051,ice cream,1.56295,lemur,1.1007102,bread,0.3535546958446502,0.35461294651031494
layer4,57,0.268329336775768,1.1210809,Polaroid camera,1.0035424,bowed stringed instrument,0.8322032,camera,0.4355912,wind instrument,0.170129,device,0.3850037455558777,0.29149100184440613
layer4,58,0.5187844625206761,2.0807889,baseball player,1.1990938,ball,0.7154556,shepherd dog,0.5752283,dog,0.009510197,domestic animal,0.4109397828578949,0.5018081068992615
layer4,59,0.2226537870438119,1.6382471,gong,1.62452,potter's wheel,1.2435215,prototherian,0.24923488,invertebrate,0.10931641,container,0.4128777682781219,0.22133204340934753
layer4,60,0.3762317385355654,0.82808244,sled dog,0.4672191,musical instrument,0.27847195,canine,0.255799,hound,0.17148384,artifact,0.2690224349498749,0.2813056707382202
layer4,61,0.2247455807032121,1.3536274,potter's wheel,1.2151343,sawmill,1.0987537,geyser,0.41464156,utensil,0.3001071,reptile,0.3929178714752197,0.211150124669075
layer4,62,0.3793315991280748,2.1116612,consomme,1.6344601,lemur,1.0342515,spitz,0.5458213,primate,0.29547346,mammal,0.4466981589794159,0.35106703639030457
layer4,63,0.3839158450938104,0.903337,beverage,0.58452886,retriever,0.38504004,dog,0.23949026,container,-0.04796307,domestic animal,0.3380320072174072,0.29358091950416565
layer4,64,0.2433638895737146,1.5599313,parking meter,1.2778628,harp,1.1952097,frilled-necked lizard,0.8736971,butterfly,0.081816,artifact,0.2831908166408539,0.26783472299575806
layer4,65,0.5410945687187833,3.1438584,cheetah,2.936445,antelope,0.9314946,bird,0.3333642,organism,0.32032257,animal,0.583657443523407,0.3818066716194153
layer4,66,0.3566059234647529,1.6590955,library,1.1368773,fungus,0.95187026,place of business,0.5329896,produce,0.4180275,solid,0.5089173913002014,0.3227881193161011
layer4,67,0.3446145089837736,2.5067694,shoe store,1.9536201,filing cabinet,1.7286096,library,1.4690018,hen of the woods mushroom,0.800819,shorebird,0.4058945178985595,0.3253656327724457
layer4,68,0.3332500254865685,1.7529728,espresso machine,1.6818613,accordion,1.3208187,camera,0.16344365,container,0.14749774,instrumentality,0.3204618692398071,0.25620558857917786
layer4,69,0.2757622825742887,1.8693855,American lobster,1.7329316,common sorrel horse,1.6444381,butternut squash,1.3851817,lifeboat,1.2784908,Vizsla,0.3636248111724853,0.3155179023742676
layer4,70,0.3196612260455103,2.0758288,balloon,1.9395478,gong,1.8066612,radio telescope,0.71614546,hound,0.58725107,even-toed ungulate,0.4584778547286987,0.3286440074443817
layer4,71,0.3598850752008442,1.525266,photocopier,1.4882183,menu,0.39767742,electronic equipment,0.38639173,primate,0.13403969,instrumentality,0.316956102848053,0.2547556459903717
layer4,72,0.3805896098835457,1.6589906,harmonica,1.4846681,piano,1.4350823,chickadee,0.891726,oscine,0.18350974,artifact,0.3372496664524078,0.21274007856845856
layer4,73,0.2473905280979563,1.784759,tennis ball,1.6769037,smooth green snake,1.6622216,bubble,1.4276006,consomme,1.1719509,percoid fish,0.4605095386505127,0.2955124080181122
layer4,74,0.3162585122271904,1.9164281,magnetic compass,1.3169798,measuring instrument,1.0453684,bear,0.99454963,wolf,0.40164754,structure,0.5274968147277832,0.2760455906391144
layer4,75,0.3123263275988266,1.3511622,hot dog,1.3000484,dugong,1.0751784,punching bag,0.7014753,squash,0.2977225,solid,0.2900534570217132,0.24510958790779114
layer4,76,0.4699114981535263,2.3836272,spider web,0.9516777,spider,0.7318972,big cat,0.42709076,invertebrate,0.2675678,arachnid,0.3896640241146087,0.4652799069881439
layer4,77,0.3322389598721563,1.2981851,steel drum,1.0917255,brass,0.6473941,musical instrument,0.3569417,conveyance,0.15146352,vehicle,0.4932783842086792,0.2332136631011963
layer4,78,0.3056562086454443,1.5916971,weight,1.495411,spindle,1.3243982,electric fan,1.1833702,screw,0.15897723,device,0.3690460324287414,0.25254181027412415
layer4,79,0.3862208489999345,2.1137977,corn,1.2538848,squash,0.9734753,utensil,0.62769717,nutriment,0.49806368,food,0.4908807277679443,0.29123640060424805
layer4,80,0.2903700424808962,0.49762344,footwear,0.3203424,electronic equipment,0.21244445,food,0.14560059,domestic animal,0.0877566,matter,0.2688358724117279,0.15089501440525055
layer4,81,0.2558820064777757,1.4342189,pedestal,1.3760487,Christmas stocking,1.317378,obelisk,0.37572184,sports equipment,0.25029477,clothing,0.4150840640068054,0.2532104551792145
layer4,82,0.5080073809253679,3.7792647,platypus,2.6542523,paddle,2.4069593,crocodilian reptile,2.2653115,aquatic bird,-0.083462216,wading bird,0.676763117313385,0.45333653688430786
layer4,83,0.2508960120286376,1.3551602,gyromitra,1.3404682,Basset Hound,1.1566252,hen,0.9894381,rooster,0.8721184,payphone,0.4097716808319092,0.2964082360267639
layer4,84,0.3651603327427919,2.8107593,hot dog,2.1868286,pizza,0.9452287,foodstuff,0.5295433,electronic equipment,0.19794916,instrumentality,0.4006662666797638,0.2342897206544876
layer4,85,0.3422198814182012,1.8629352,quilt,0.72380537,furniture,0.3078369,commodity,0.30581912,furnishing,0.12689961,artifact,0.5272359848022461,0.24581444263458252
layer4,86,0.4305748817337451,2.473789,aquatic mammal,1.1865264,ship,1.0701602,boat,0.7895863,terrier,0.524797,craft,0.506962776184082,0.4759947955608368
layer4,87,0.4479514104104533,1.6779157,mountain,1.2662106,bovid,0.4341695,mammal,0.31560996,bird,-0.14949474,placental,0.4171077609062195,0.3782232701778412
layer4,88,0.4023633770202147,2.2931626,communication,1.6016098,bird of prey,0.8414284,primate,0.66350454,bird,0.6503946,structure,0.5482576489448547,0.3240501582622528
layer4,89,0.3672267195344466,2.2946763,ostrich,1.1827414,wolf,1.0470153,fox,0.69929034,wading bird,0.4865778,aquatic bird,0.4845280051231384,0.3492889106273651
layer4,90,0.3137186746541474,2.1052213,harmonica,1.9956876,cassette,1.4103898,slot machine,1.1558157,piano,0.11587532,instrumentality,0.3907176554203033,0.26147326827049255
layer4,91,0.3675266136366021,1.8364975,Irish Water Spaniel,1.8066496,Curly-coated Retriever,1.6843926,poodle,0.44616362,musical instrument,0.2536635,bird,0.3218555450439453,0.3533773422241211
layer4,92,0.4335893971840672,2.663778,three-toed sloth,2.6517642,entertainment center,0.9290424,butterfly,0.82027435,terrier,0.78902423,arachnid,0.4144977331161499,0.48009058833122253
layer4,93,0.3186252874945703,2.6008396,Komondor,2.3360312,porcupine,2.1140718,three-toed sloth,2.0472634,echidna,1.6946796,cleaning implement,0.4433943033218384,0.319982647895813
layer4,94,0.3507298166360059,1.2300605,bridegroom,0.89149314,baby bed,0.44519863,musical instrument,0.435174,clothing,0.14288992,mammal,0.3088447153568268,0.264547199010849
layer4,95,0.5134119658303576,0.78568757,bird,0.6753107,shorebird,0.58104837,oscine,0.5706734,craft,0.27143875,structure,0.4769774675369262,0.36938467621803284
layer4,96,0.2958628022876182,1.5629113,chocolate syrup,1.5371783,red wine,1.1456541,glass,0.95646155,bottle,0.24040711,substance,0.4652763903141022,0.2994843125343323
layer4,97,0.3219213398210281,3.3310618,screw,2.459412,mosque,2.4014857,corkscrew,1.2798314,woodwind,0.48566252,diapsid,0.4901271760463714,0.29195258021354675
layer4,98,0.3428445935811282,2.2501698,T-shirt,1.2151363,sweatshirt,0.88908976,weight,0.5769348,retriever,0.07767577,artifact,0.3590027093887329,0.2906719148159027
layer4,99,0.391871225464899,2.1181848,hippopotamus,1.8506215,acorn squash,1.823365,water buffalo,0.88335615,great ape,0.5352378,primate,0.4420803785324096,0.38413217663764954
layer4,100,0.3546272290508336,0.35657725,substance,0.26023638,food,0.19363092,dog,0.15042733,container,0.122440286,matter,0.3024344742298126,0.20351140201091766
layer4,101,0.2255177080590868,1.6590993,gong,0.891483,orthopterous insect,0.63035923,utensil,0.36109185,terrier,0.27237862,insect,0.424980491399765,0.27557045221328735
layer4,102,0.3109102764119691,2.0818458,puzzle,1.3365862,floor cover,1.2104477,boa,0.5793152,feline,0.36969373,reptile,0.4003658592700958,0.3389175236225128
layer4,103,0.4898172086281841,2.021387,three-toed sloth,0.9799642,musteline mammal,0.5077861,mammal,0.33015144,vertebrate,-0.35946357,placental,0.3068817257881164,0.4640584886074066
layer4,104,0.3368243882364924,1.753586,manhole cover,1.6166279,cannon,1.0304245,weight,0.80797374,seat,0.19665846,artifact,0.3357202410697937,0.2128930389881134
layer4,105,0.3778086976321567,1.8645515,Old English Sheepdog,1.4719287,Shetland Sheepdog,1.2767204,corgi,1.0397421,sennenhunde,0.19814333,carnivore,0.3674743771553039,0.3570198714733124
layer4,106,0.2976238044172517,1.4748459,banana,1.3515152,missile,1.0935805,swimsuit,0.7048183,weapon,0.6196026,footwear,0.4069465696811676,0.3080764412879944
layer4,107,0.2953598492345876,1.9076755,Komondor,1.7434139,small white butterfly,1.6953006,african grey parrot,1.6812692,Old English Sheepdog,0.91319734,bird of prey,0.3943761885166168,0.3064635694026947
layer4,108,0.4646493703257927,1.8626409,locomotive,1.3582017,fungus,0.83831084,spiny-finned fish,0.7383666,bony fish,0.57404715,invertebrate,0.4279272556304931,0.46908095479011536
layer4,109,0.3459416678252376,1.8425001,Komodo dragon,1.566978,Gila monster,1.3989651,elephant,1.3609805,tusker,0.22482067,hunting dog,0.39048632979393,0.29983943700790405
layer4,110,0.3432268209537632,2.567793,parking meter,2.3115244,turnstile,1.1297146,box,0.18931566,artifact,0.13414729,instrumentality,0.3567846715450287,0.24975571036338806
layer4,111,0.4235477951440476,2.0631135,bullock cart,1.3089546,salamander,1.0105636,bovid,0.6725874,even-toed ungulate,0.3073831,bird,0.4133672416210174,0.31797242164611816
layer4,112,0.2740620484206206,1.3825674,flamingo,1.2646465,unicycle,0.95377123,bicycle,0.24859856,aquatic bird,0.20756152,clothing,0.3103503584861755,0.2904743254184723
layer4,113,0.2291585362789433,0.21906511,fruit,0.2178942,woodwind,0.20976935,bird,0.1617092,wind instrument,0.1492698,oscine,0.4820989966392517,0.2104606032371521
layer4,114,0.2834762699741788,1.1767141,sauce,0.6347294,fabric,0.44309038,nutriment,0.3108958,matter,0.10574781,food,0.5235443115234375,0.21580040454864502
layer4,115,0.3159769649856508,2.0870576,crate,1.4307902,maze,1.3487056,crossword,1.0604428,basket,0.11518151,artifact,0.3845158815383911,0.2932516634464264
layer4,116,0.3266320337908673,1.663071,Norwegian Elkhound,1.5471938,drumstick,1.4292276,fur coat,1.271954,pan flute,1.1548867,banana,0.3416664004325866,0.31071415543556213
layer4,117,0.4790032179777719,2.4228044,shoe,2.2094882,shoe store,1.6894916,clogs,0.62384534,footwear,0.32018405,bird,0.4007264673709869,0.37493905425071716
layer4,118,0.3144277884939734,1.9345822,broccoli,1.4486072,jackfruit,1.4264706,guacamole,1.0610832,frog,0.19445424,canine,0.3436892330646515,0.35806307196617126
layer4,119,0.2306970341261479,1.5064764,flatworm,1.0383507,fungus,0.6630077,amphibian,0.6473861,mollusk,0.1450985,organism,0.5776711702346802,0.24251849949359894
layer4,120,0.4207499467309853,2.7495582,giant panda,2.6341693,space shuttle,2.423079,crossword,2.3683171,magpie,2.0164337,chickadee,0.5017206072807312,0.33224934339523315
layer4,121,0.3155222643008228,1.549338,turnstile,1.2437365,park bench,1.0935892,rocking chair,0.72296846,gymnastic apparatus,0.31187007,furniture,0.3625356554985046,0.2853294312953949
layer4,122,0.2909357796371606,1.4291029,coral fungus,0.77138597,cruciferous vegetable,0.72303087,leporid,0.21190085,clothing,0.17433272,invertebrate,0.3585778474807739,0.22531431913375854
layer4,123,0.2400755084814063,2.5042136,hard disk drive,1.6356367,iPod,1.5425446,music speaker,1.1758618,opener,1.1376623,frog,0.4913629293441772,0.23976102471351624
layer4,124,0.4060837927555216,2.3058276,radiator grille,1.7539827,mobile home,1.7069104,recreational vehicle,0.6465351,motor vehicle,0.48455694,car,0.4777899384498596,0.3025517463684082
layer4,125,0.2892924635972659,1.1708194,common sorrel horse,0.8618024,weight,0.2892919,craft,0.15925118,structure,0.07585682,artifact,0.2987764179706573,0.1333584040403366
layer4,126,0.3123417563524827,0.9844404,altar,0.8461853,entertainment center,0.5799247,setter,0.43694887,spaniel,0.2023728,sporting dog,0.3239735662937164,0.34231042861938477
layer4,127,0.2875755756042104,2.6049442,picket fence,1.3124746,coral fungus,1.0526872,wardrobe,0.89454263,leporid,0.3312429,bird,0.4201099276542663,0.27080732583999634
layer4,128,0.429119797878957,3.0155275,photocopier,1.8219475,cheeseburger,1.7903663,printer,1.6751679,antelope,0.80127716,cartilaginous fish,0.5362721681594849,0.3202085793018341
layer4,129,0.3782518178368778,3.9104035,tights,3.096217,swimsuit,1.803344,skirt,1.5401363,marsupial,1.138456,rodent,0.5944339036941528,0.41702303290367126
layer4,130,0.3716683078399156,2.4568167,apiary,1.8006358,food fish,1.2327307,plate,0.5263328,musical instrument,0.35791624,clothing,0.4911022782325744,0.2123372107744217
layer4,131,0.2075324440368927,2.189348,mosquito net,1.3374821,water bottle,1.226367,Petri dish,1.1409122,baby pacifier,0.13475443,artifact,0.36966273188591,0.22235631942749023
layer4,132,0.3644394121918837,1.8606027,odonate,1.838993,lacewing,1.680299,nematode,1.6437428,shopping cart,0.10411371,artifact,0.2915753126144409,0.32952097058296204
layer4,133,0.3642864324740798,2.6171544,slot machine,2.4750454,barber chair,1.3386947,place of business,0.5365449,shop,0.18233907,artifact,0.4923454821109772,0.24076177179813385
layer4,134,0.1981472777679424,1.5696439,stupa,1.4281919,maraca,0.50591075,seat,0.2460664,hunting dog,0.11774092,artifact,0.4496748745441437,0.18053755164146423
layer4,135,0.4253837728332976,2.9779599,paddle,1.7671548,boat,1.1193002,sporting dog,0.82772857,aquatic bird,0.18804467,vertebrate,0.5170171856880188,0.4484841823577881
layer4,136,0.3954811863209754,2.7928634,snowmobile,2.5815759,ski,1.9675839,sled,0.36102358,hound,0.24751514,canine,0.3218394517898559,0.5058334469795227
layer4,137,0.3660541867373895,3.3938963,lab coat,1.8997508,baby pacifier,1.703934,clothes iron,1.4874202,daisy,0.6216476,toiletry,0.4415971934795379,0.24328956007957458
layer4,138,0.2398132299094428,1.589984,milk can,1.3987552,jackfruit,1.0909342,elephant,0.20348047,structure,0.16003193,container,0.3993667364120483,0.23368550837039948
layer4,139,0.3953608914947428,2.2583632,thatched roof,1.4930254,marsupial,0.8924429,ungulate,0.81816465,primate,0.10653992,mammal,0.464777261018753,0.4240119159221649
layer4,140,0.6170920883561998,2.1646273,bird of prey,1.8833137,parrot,1.8286619,african grey parrot,1.7515204,rooster,0.8988316,bird,0.4465726613998413,0.5473750829696655
layer4,141,0.3296350067149153,1.4345639,crocodilian reptile,1.2719656,corn cob,1.1096647,corn,1.1060711,viper,0.49621323,lizard,0.2846367359161377,0.26858577132225037
layer4,142,0.3045196395093574,1.2713372,paddle,1.1438988,seat belt,0.9714951,pen,0.3999272,craft,0.14743687,artifact,0.3095784187316894,0.27805081009864807
layer4,143,0.2496465934254589,1.6759183,plectrum,1.3516787,toaster,1.0527495,pencil sharpener,0.81342524,communication,0.18550642,instrumentality,0.4265788793563843,0.2119700163602829
layer4,144,0.3397669555007886,1.9125378,carbonara,1.350909,sandwich,0.9912764,gymnastic apparatus,0.9729852,foxhound,0.19865946,canine,0.3597632646560669,0.35380855202674866
layer4,145,0.2061679689621544,2.4407914,marimba,1.8978878,high-speed train,1.4107902,Siamese cat,0.38550723,car,0.28562105,furniture,0.4840783178806305,0.28553035855293274
layer4,146,0.3407166359332221,1.2843119,shoe store,1.2157342,gondola,1.0727001,car mirror,0.85521805,footwear,0.65330213,shoe,0.4121156632900238,0.2936854064464569
layer4,147,0.3093885919372084,2.1564407,daisy,1.9070349,lab coat,1.3284453,puzzle,0.41995382,snake,0.38839245,insect,0.4421692192554474,0.258156418800354
layer4,148,0.3827092773219049,1.3950262,lemur,1.3621962,marsupial,1.2103086,fox,0.60788184,snake,0.36987644,primate,0.3407483100891113,0.397606760263443
layer4,149,0.571247101587191,4.5523086,coral reef,4.162956,scuba diver,4.0452366,coelenterate,2.7554612,echinoderm,2.7192657,fish,0.6458625793457031,0.6494901180267334
layer4,150,0.4136530850994415,2.7329836,water tower,2.519702,flagpole,2.0645611,helmet,0.56899244,conveyance,0.44483322,structure,0.535192608833313,0.3605833947658539
layer4,151,0.2776115769066664,0.25625184,musical instrument,0.14647375,insect,0.13731015,device,0.1195578,arthropod,0.083647735,invertebrate,0.2923545837402344,0.24491170048713684
layer4,152,0.2811862667662057,3.2592418,peafowl,2.6020205,bubble,2.1895685,indigo bunting,0.48222208,fish,0.173572,artifact,0.4923616349697113,0.2701723575592041
layer4,153,0.340509232745251,1.556656,table lamp,1.530947,communication,1.5041883,lampshade,0.6838068,aircraft,0.16025616,artifact,0.2952729165554046,0.2757847309112549
layer4,154,0.3604915910431199,2.4343324,poncho,1.5997418,scarf,0.66903657,fabric,0.36539304,invertebrate,0.26705903,clothing,0.3942924737930298,0.35742467641830444
layer4,155,0.4058144909366647,2.9407673,apiary,1.5194875,electronic device,1.4304765,box,0.71479946,electronic equipment,0.2526875,artifact,0.4545567035675049,0.3698061406612396
layer4,156,0.4057794357529813,2.3044024,carbonara,2.2064807,Leonberger,2.1088247,spitz,2.1049159,Tibetan Mastiff,1.7045308,sled dog,0.4269378781318664,0.48687881231307983
layer4,157,0.3053903516993735,3.801048,gong,2.9159093,potter's wheel,2.3825665,washing machine,2.1776145,barometer,2.026569,toilet seat,0.4931447207927704,0.35256248712539673
layer4,158,0.4052511579727169,2.0124147,library,0.61832404,reptile,0.59651715,insect,0.52225584,primate,0.16231744,organism,0.4783800542354584,0.39678892493247986
layer4,159,0.431414333518298,1.5699455,Airedale Terrier,1.4729911,Border Terrier,1.29777,Malinois,0.3898637,mammal,-0.07919148,placental,0.2823270261287689,0.421324223279953
